SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-19-2017,Single Family Residential,1344 19th St,Manhattan Beach,CA,90266,2300000,4,2.75,146 - Manhattan Bch Heights/Lib Vlg,3148,7001,1993,156,731,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/1344-19th-St-90266/home/6703986,CRMLS,SB17162814,N,Y,33.8916818,-118.3901566
PAST SALE,October-31-2017,Single Family Residential,4117 W 154th St,Lawndale,CA,90260,520000,2,1.0,112 - North Lawndale,837,4830,1949,114,621,,Sold,,,http://www.redfin.com/CA/Lawndale/4117-W-154th-St-90260/home/6559049,CRMLS,DW17218431,N,Y,33.8912641,-118.3467329
PAST SALE,November-9-2017,Single Family Residential,4841 W 131st St,Hawthorne,CA,90250,635000,2,2.0,699 - Not Defined,1050,5283,1952,105,605,,Sold,,,http://www.redfin.com/CA/Hawthorne/4841-W-131st-St-90250/home/6669767,CRMLS,IG17194109,N,Y,33.9139821,-118.3627341
PAST SALE,November-29-2017,Single Family Residential,4525 W 131st St,Hawthorne,CA,90250,615000,3,2.0,109 - Ramona/Burleigh,1461,6000,1958,85,421,,Sold,,,http://www.redfin.com/CA/Hawthorne/4525-W-131st-St-90250/home/6491103,CRMLS,SB17231122,N,Y,33.9138283,-118.3553251
PAST SALE,January-17-2018,Single Family Residential,12530 Birch Ave,Hawthorne,CA,90250,343000,2,2.0,108 - North Hawthorne,984,3188,1935,36,349,,Sold,,,http://www.redfin.com/CA/Hawthorne/12530-Birch-Ave-90250/home/6500639,CRMLS,SB17238068,N,Y,33.9185151,-118.3498853
PAST SALE,January-22-2018,Single Family Residential,4715 W 141st St,Hawthorne,CA,90250,504000,3,1.0,109 - Ramona/Burleigh,962,5820,1948,31,524,,Sold,,,http://www.redfin.com/CA/Hawthorne/4715-W-141st-St-90250/home/6492607,CRMLS,SB18000665,N,Y,33.903921,-118.3595557
PAST SALE,November-30-2017,Single Family Residential,1905 Manzanita Ln,Manhattan Beach,CA,90266,1570000,4,2.0,146 - Manhattan Bch Heights/Lib Vlg,1844,5402,1950,84,851,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/1905-Manzanita-Ln-90266/home/6703426,CRMLS,SB17207418,N,Y,33.8921728,-118.3819163
PAST SALE,February-2-2018,Single Family Residential,2208 Wendy Way,Manhattan Beach,CA,90266,1825000,3,2.75,146 - Manhattan Bch Heights/Lib Vlg,1794,5992,1950,20,1017,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/2208-Wendy-Way-90266/home/8135658,CRMLS,SB17249870,N,Y,33.8937142,-118.3789973
PAST SALE,January-11-2018,Single Family Residential,14714 Firmona Ave,Lawndale,CA,90260,519000,2,1.0,112 - North Lawndale,952,3002,1959,42,545,,Sold,,,http://www.redfin.com/CA/Lawndale/14714-Firmona-Ave-90260/home/6564811,CRMLS,SB17275904,N,Y,33.8978446,-118.357471
PAST SALE,September-1-2017,Single Family Residential,2312 Elm Ave,Manhattan Beach,CA,90266,1760000,3,2.0,143 - Manhattan Bch Tree,1472,4480,1952,174,1196,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/2312-Elm-Ave-90266/home/6707232,CRMLS,SB17202065,N,Y,33.893828,-118.3975944
